我们	wq
他们	tq
你们	nq
知道	vd
没有	mk
什么	sm
自己	z;
必	b,
便	b.
八	b/
报	b;
传	c,
此	c.
称	c/
长	c;
次	cm
城	cn
定	d,
等	d.
代	d/
地	d;
达	da
电	dv
德	dz
放	f,
反	f;
设	fr
工	g,
共	g.
跟	g/
公	g;
格	gc
干	ge
根	gw
海	h,
黑	h.
黄	h/
化	h;
合	hc
候	hk
何	ht
花	hx
据	j,
结	j.
记	j/
加	j;
建	jq
级	jz
议	k/
样	k;
可	ke
口	kx
论	lb
两	lf
连	lg
李	lk
流	lu
命	m;
满	mx
家	nb
那	nd
呢	ne
你	nf
久	nx
却	q,
取	q.
七	q/
期	q;
群	qb
思	r,
任	r.
让	r;
安	ra
而	rk
声	s,
数	s.
少	s/
时	s;
式	sc
受	sd
色	sw
太	t,
同	t.
提	t/
体	t;
特	te
看	tk
政	v,
直	v.
至	v/
只	v;
种	vl
转	vx
主	vu
者	vz
望	w,
未	w.
闻	w/
万	w;
心	x,
性	x.
信	x/
学	x;
笑	xa
须	xb
先	xg
写	xt
远	y;
云	yc
于	yv
坐	z.
早	z/
怎	z,
字	zi
做	zk
则	zp
造	zy
