吖	〔口〕4322
阿	〔阝〕1251
啊	〔口〕5212
锕	〔钅〕5212
嗄	〔口〕1325
哎	〔口〕1223
哀	〔亠〕2513
唉	〔口〕5431
埃	〔土〕5431
挨	〔扌〕5431
锿	〔钅〕4125
捱	〔扌〕1312
皑	〔白〕2525
癌	〔疒〕2512
嗳	〔口〕3443
矮	〔矢〕3123
蔼	〔艹〕4525
霭	〔雨〕4525
艾	〔艹〕3444
爱	〔爪〕4513
砹	〔石〕1223
隘	〔阝〕4313
嗌	〔口〕4313
嫒	〔女〕3443
碍	〔石〕2511
暧	〔日〕3443
瑷	〔王〕3443
安	〔宀〕5311
桉	〔木〕4455
氨	〔气〕4455
庵	〔广〕1342
谙	〔讠〕4143
鹌	〔鸟〕1342
鞍	〔革〕4455
俺	〔亻〕1342
埯	〔土〕1342
铵	〔钅〕4455
揞	〔扌〕4143
犴	〔犭〕1122
岸	〔山〕1311
按	〔扌〕4455
案	〔木〕4455
胺	〔月〕4455
暗	〔日〕4143
黯	〔黑〕4143
肮	〔月〕4135
昂	〔日〕3552
盎	〔皿〕2513
凹	〔凵〕2525
坳	〔土〕5545
敖	〔攵〕1121
嗷	〔口〕1121
廒	〔广〕1121
獒	〔犬〕1121
遨	〔辶〕1121
熬	〔灬〕1121
翱	〔羽〕3251
聱	〔耳〕1121
螯	〔虫〕1121
鳌	〔鱼〕1121
鏖	〔鹿〕3411
拗	〔扌〕5545
袄	〔衤〕3134
媪	〔女〕2511
岙	〔山〕3134
傲	〔亻〕1121
奥	〔大〕3254
骜	〔马〕1121
澳	〔氵〕3254
懊	〔忄〕3254
鏊	〔金〕1121
八	〔八〕4444
巴	〔乙〕2155
叭	〔口〕3444
扒	〔扌〕3444
吧	〔口〕5215
岜	〔山〕5215
芭	〔艹〕5215
疤	〔疒〕5215
捌	〔扌〕2515
笆	〔〕5215
粑	〔米〕5215
拔	〔扌〕1354
茇	〔艹〕1354
菝	〔艹〕1211
跋	〔足〕1354
魃	〔鬼〕1354
把	〔扌〕5215
钯	〔钅〕5215
靶	〔革〕5215
坝	〔土〕2534
爸	〔父〕5215
罢	〔罒〕1215
鲅	〔鱼〕1354
霸	〔雨〕1221
灞	〔氵〕1452
掰	〔手〕3453
白	〔白〕1111
百	〔一〕3251
佰	〔亻〕1325
柏	〔木〕3251
捭	〔扌〕3251
摆	〔扌〕2522
呗	〔口〕2534
败	〔贝〕3134
拜	〔手〕1111
稗	〔禾〕3251
扳	〔扌〕3354
班	〔王〕4311
般	〔舟〕3554
颁	〔页〕3453
斑	〔王〕4134
搬	〔扌〕3354
瘢	〔疒〕3354
癍	〔疒〕1121
阪	〔阝〕3354
坂	〔土〕3354
板	〔木〕3354
版	〔片〕3354
钣	〔钅〕3354
舨	〔舟〕3354
办	〔力〕4444
半	〔丶〕3112
伴	〔亻〕4311
扮	〔扌〕3453
拌	〔扌〕4311
绊	〔纟〕4311
瓣	〔辛〕3354
邦	〔阝〕1113
帮	〔巾〕1113
梆	〔木〕1113
浜	〔氵〕3212
绑	〔纟〕1113
榜	〔木〕4143
膀	〔月〕4143
蚌	〔虫〕1112
傍	〔亻〕4143
棒	〔木〕1113
谤	〔讠〕4143
蒡	〔艹〕4143
磅	〔石〕4143
镑	〔钅〕4143
勹	〔勹〕5555
包	〔勹〕5155
孢	〔子〕3551
苞	〔艹〕3551
胞	〔月〕3551
煲	〔火〕3225
龅	〔齿〕3551
褒	〔亠〕3225
雹	〔雨〕3551
宝	〔宀〕1121
饱	〔饣〕3551
保	〔亻〕2511
鸨	〔鸟〕3512
堡	〔土〕3225
葆	〔艹〕3225
褓	〔衤〕3225
报	〔扌〕5254
抱	〔扌〕3551
豹	〔豸〕3544
趵	〔足〕3544
鲍	〔鱼〕3551
暴	〔日〕1221
爆	〔火〕2511
陂	〔阝〕5325
卑	〔十〕3251
杯	〔木〕1324
悲	〔心〕2111
碑	〔石〕3251
鹎	〔鸟〕3251
北	〔丨〕1135
贝	〔贝〕4444
狈	〔犭〕2534
邶	〔阝〕2113
备	〔夂〕2512
背	〔月〕2113
钡	〔钅〕2534
倍	〔亻〕4143
悖	〔忄〕1245
被	〔衤〕5325
惫	〔夂〕2512
焙	〔火〕4143
辈	〔车〕2111
碚	〔石〕4143
蓓	〔艹〕3241
褙	〔衤〕2113
鞴	〔革〕1221
鐾	〔金〕5132
奔	〔大〕1213
贲	〔贝〕1212
锛	〔钅〕1341
本	〔木〕1111
苯	〔艹〕1234
畚	〔厶〕1342
坌	〔土〕3453
笨	〔〕1234
