ba	锁
bai	锶
bau	铯
baui	锼
bb	思
bba	饲
bbao	瘙
bbe	馓
bbu	馊
bc	素
bca	缫
bce	厮
bcee	纟
bci	缌
bco	缩
bcu	绥
bd	松
bda	桑
bdao	梭
bde	森
bdo	桫
bdu	叟
bdui	榫
be	丝
bee	隼
bei	蛳
beu	卅
beui	螋
bf	诉
bfa	诵
bfi	谡
bfia	兕
bfo	赛
bfoe	谇
bfu	讼
bg	损
bga	扫
bgao	搔
bgaoa	搡
bge	撒
bgei	撕
bgo	擞
bgoo	挲
bgu	搜
bh	四
bha	私
bhae	祀
bhai	祟
bhe	穗
bhei	穑
bheu	夙
bhi	孙
bhu	飧
bi	司
bia	嗓
biaa	咝
biao	唆
bie	嘶
biee	嗉
biei	嗽
bieio	嗦
bii	虽
biia	嗣
biio	唢
bio	嗍
bioe	嗾
bioo	噻
biu	嗖
bj	俗
bje	仨
bjei	僳
bjo	僧
bjou	伞
bk	斯
bka	狻
bkai	狲
bl	所
bla	埽
ble	寺
bleu	叁
blo	索
bloo	塞
blooo	厶
blou	丧
bloue	塑
blouei	啬
bm	色
bma	姒
bmao	糁
bmo	娑
bmu	嫂
bn	速
bna	鸶
bne	竦
bno	送
bnoo	邃
bnou	遂
bnu	飒
bo	洒
boa	涩
boae	汜
boe	淞
boei	涑
boeii	澌
boi	泗
boia	濉
boo	溯
bou	溲
bp	死
bpa	骚
bpe	宋
bpi	驷
bpu	宿
bq	岁
bqe	霰
bqei	崧
bqo	嵩
br	艘
bra	巳
bre	瑟
bri	肃
brio	琐
bs	肆
bsa	羧
bsi	腮
bsia	臊
bsu	脎
bt	碎
bta	磉
bu	算
bua	笋
buae	笥
buao	毵
bue	簌
bv	三
bva	苏
bvai	萨
bvaie	荪
bve	蒜
bvei	菘
bveia	蔌
bveiae	觫
bvo	蓑
bvou	薮
bvu	荽
bw	酸
bwe	髓
bwee	愫
bwei	悚
bwo	粟
bwu	酥
bwuo	怂
bwuoa	忪
bx	随
bxe	隋
bxi	耜
bxo	隧
bxu	耸
bxui	飕
by	散
bya	睃
bye	眭
byo	燧
byu	睢
byui	瞍
bz	稣
bza	颡
bzao	鳋
bze	凇
bzi	鳃
bzu	颂
ca	钻
caa	锱
cae	铐
caea	锴
caeai	錾
caei	钶
cai	铿
caia	铠
caiae	锟
caiaee	锃	锞
cao	钪
caoe	镞
caoi	锎
cb	款
cba	康
cbai	邝
cbe	库
cbi	馈
cbia	甾
cbo	廓
cbu	座
cc	组
cca	缁
cce	缂
ccei	氪
cceu	绔
cci	紫
cco	尊
ccoe	纩
ccoo	综
ccou	缯
ccu	纵
ccue	缵
ccuo	仄
cd	杂
cde	柯
cdea	楷
cdee	框
cdeee	楱
cdei	枯
cdeie	栽
cdeieu	栲
cdi	肯
cdia	棵
cdii	槛
cdo	棕
cdoe	梓
cdou	樽
ce	再
cea	蚤
cee	蝰
cei	罪
ceia	枣
ceo	罾
ceu	蝌
ceue	蛞
cf	资
cfe	责
cfea	谮
cfee	贼
cfeee	诓
cfei	诹
cfi	则
cfia	课
cfiae	诅
cfiaeu	贶
cfie	赀
cfiei	訾
cfo	赠
cfoe	赃
cfoeu	谘
cfu	赞
cfua	亢
cfuau	诳
cfuo	卒
cg	族
cga	择
cgaa	拶
cgao	揆
cge	扛
cgea	揩
cgee	揍
cgei	拷
cgeu	挎
cgeuo	抠
cgi	扣
cgia	捆
cgo	抗
cgoe	扩
cgoo	控
cgou	撙
cgu	括
cgue	攒
cgueo	攥
ch	子
cha	孔
che	困
chee	匡
chi	祖
chia	租
chiae	匮
chiaee	稞
chiai	凯
chiaii	匝
chii	赜
cho	科
chou	孳
chu	孜
chua	秭
chue	祚
ci	可
cia	咖
ciai	叩
ciaie	奘
cie	口
ciee	夸
cieee	哐
cieei	啧
ciei	奎
cieia	咂
cieie	哉
cieiea	嗑
cieii	戡
cieu	左
cieua	臧
cieuo	喹
cii	嘴
ciia	噪
ciiae	喟
ciie	啃
ciiee	咔
cio	咨
cioe	吭
cioo	喀
ciou	嗞
ciu	咱
ciue	咋
ciui	唣
ciuii	夼
ciuo	唑
ciuoe	哙
cj	作
cja	仔
cje	做
cjei	龛
cjeu	佐
cjeuo	侉
cji	侃
cjie	佧
cjo	伉
cjoo	倥
cju	俎
cjua	偬
cjuo	侩
ck	最
cka	辎
ckao	暌
cke	早
ckea	暂
ckeaa	皂
ckeau	昆
ckee	狂
ckei	载
ckeia	轲
ckeu	昃
cki	哭
cko	旷
cku	昨
ckua	昝
ckuo	狯
cl	在
cla	块
clae	垦
claeu	堀
cle	堪
clei	坷
cleu	垮
cli	克
clia	坤
cliai	垲
clo	增
cloa	壳
cloe	坑
cloeu	圹
cloo	魁
clou	凿
clu	考
clua	坎
cluo	坐
cm	刻
