的	dkuaoo	dk
一	keeeee	ke
是	fkeieu	fk
不	neuioo	ne
了	laaiii	la
在	cleuie	cl
人	sjoooo	sj
有	kseuia	ks
我	siueie	si
他	vjaiaa	vj
这	gnoeuo	gn
个	rjiiii	rj
们	tjoiaa	tj
中	giiiii	gi
来	leouei	le
上	foeeee	fo
大	dioooo	di
为	souaoo	so
和	whiaee	wh
国	rheeie	rh
地	dlaiaa	dl
到	dmeaoe	dm
以	kjaouo	kj
说	ffouia	ff
时	fkeioo	fke
要	kwauee	kw
就	jfiaei	jf
出	zvaiii	zv
会	wjeeao	wj
可	cieiae	ci
也	kaiaaa	ka
你	xjuaiu	xj
对	ddeioo	dd
生	fxeeie	fx
能	xliaee	xl
而	peuiai	pe
子	cheeee	ch
那	xxaeeu	xx
得	dtiaee	dt
于	kviiii	kv
着	gsiaee	gs
下	hoeioo	ho
自	coeeee	co
之	goaooo	go
年	xueeie	xu
过	rneioo	rn
发	mdauao	md
后	wiuuei	wi
作	cjueie	cj
里	lseeee	ls
用	kfiiii	kf
道	dnoueu	dn
行	hteeii	ht
所	bluuae	bl
然	syuaoo	sy
家	jpeuau	jp
种	ghiaei	gh
事	feiaea	fe
成	zieuaa	zi
方	mguuuu	mg
多	dhuaoo	dh
经	jcaoei	jc
么	tluaoo	tl
去	qlaooo	ql
法	moeiea	mo
学	hsaiee	hs
如	smiaee	sm
都	dxeieu	dx
同	vheiae	vh
现	hriaua	hr
当	dsaeee	ds
没	touaao	to
动	dweeao	dw
面	teuiai	te
起	quaeaa	qu
看	cyueeu	cy
定	dpeieu	dp
天	vvoooo	vv
分	mrauuu	mr
还	wneuio	wn
进	jneeui	jn
好	wmaiee	wm
小	hsoooo	hso
部	nxoeou	nx
其	qkoooo	qk
些	hvieie	hv
主	groeei	gr
样	kdouee	kd
理	lriaee	lr
心	hwoooo	hw
她	vmaiaa	vm
本	ndeeee	nd
前	qreiae	qr
开	cvuiii	cv
但	djiaee	dj
因	kheuoo	kh
只	giuooo	giu
从	pjuooo	pj
想	hweiuo	hwe
实	fpooeu	fp
日	skeeee	sk
军	jpeaei	jpe
者	gliaee	gl
意	kgiaee	kg
无	svuaaa	sv
力	lwuuuu	lw
它	vpuaaa	vp
与	keaeee	kea
长	gueaoo	gu
把	ngaiea	ng
机	jduaaa	jd
十	fliiii	fl
民	taeaea	ta
第	duaeai	du
公	rraooo	rr
此	pduaaa	pd
已	kraeaa	kr
工	rieeee	ri
使	fjeiae	fj
情	qweeie	qw
明	tkuaee	tk
性	hwueei	hwu
知	gaiaee	ga
全	qjeeie	qj
三	bveeee	bv
又	kdoooo	kdo
关	rreeuo	rre
点	doeooo	do
正	gdeiei	gd
业	kleeee	kl
外	shiooo	sh
将	jsuaoe	js
两	leiauo	lei
高	rfaeia	rf
间	jtiaee	jt
由	kkiaei	kk
问	stiaee	st
很	wtaeea	wt
最	ckeiie	ck
重	gvueia	gv
并	nreeui	nr
物	sxuauu	sx
手	fgiiii	fg
应	kbooue	kb
战	giieia	gii
向	hiuiai	hi
头	viooeu	vi
文	sfoooo	sf
体	vjeiuo	vje
政	gyeiei	gy
美	tseuoo	ts
相	hdiaee	hd
见	jgaaaa	jg
被	npauia	np
利	lhiiii	lh
什	fjeiii	fje
二	pveeee	pv
等	dueiee	due
产	znuuuu	zn
或	weeauo	we
新	hloeou	hl
己	jraaaa	jr
制	gmueei	gm
身	fcuuuu	fc
果	rkeiuo	rk
加	jwiaee	jw
西	heeeee	he
斯	bkuuei	bk
月	kseeee	kse
