吖	〔口〕丶丿丨丨
阿	〔阝〕一丨乙一
啊	〔口〕乙丨一丨
锕	〔钅〕乙丨一丨
嗄	〔口〕一丿丨乙
哎	〔口〕一丨丨丿
哀	〔亠〕丨乙一丿
唉	〔口〕乙丶丿一
埃	〔土〕乙丶丿一
挨	〔扌〕乙丶丿一
锿	〔钅〕丶一丨乙
捱	〔扌〕一丿一丨
皑	〔白〕丨乙丨乙
癌	〔疒〕丨乙一丨
嗳	〔口〕丿丶丶丿
矮	〔矢〕丿一丨丿
蔼	〔艹〕丶乙丨乙
霭	〔雨〕丶乙丨乙
艾	〔艹〕丿丶丶丶
爱	〔爪〕丶乙一丿
砹	〔石〕一丨丨丿
隘	〔阝〕丶丿一丿
嗌	〔口〕丶丿一丿
嫒	〔女〕丿丶丶丿
碍	〔石〕丨乙一一
暧	〔日〕丿丶丶丿
瑷	〔王〕丿丶丶丿
安	〔宀〕乙丿一一
桉	〔木〕丶丶乙乙
氨	〔气〕丶丶乙乙
庵	〔广〕一丿丶丨
谙	〔讠〕丶一丶丿
鹌	〔鸟〕一丿丶丨
鞍	〔革〕丶丶乙乙
俺	〔亻〕一丿丶丨
埯	〔土〕一丿丶丨
铵	〔钅〕丶丶乙乙
揞	〔扌〕丶一丶丿
犴	〔犭〕一一丨丨
岸	〔山〕一丿一一
按	〔扌〕丶丶乙乙
案	〔木〕丶丶乙乙
胺	〔月〕丶丶乙乙
暗	〔日〕丶一丶丿
黯	〔黑〕丶一丶丿
肮	〔月〕丶一丿乙
昂	〔日〕丿乙乙丨
盎	〔皿〕丨乙一丿
凹	〔凵〕丨乙丨乙
坳	〔土〕乙乙丶乙
敖	〔攵〕一一丨一
嗷	〔口〕一一丨一
廒	〔广〕一一丨一
獒	〔犬〕一一丨一
遨	〔辶〕一一丨一
熬	〔灬〕一一丨一
翱	〔羽〕丿丨乙一
聱	〔耳〕一一丨一
螯	〔虫〕一一丨一
鳌	〔鱼〕一一丨一
鏖	〔鹿〕丿丶一一
拗	〔扌〕乙乙丶乙
袄	〔衤〕丿一丿丶
媪	〔女〕丨乙一一
岙	〔山〕丿一丿丶
傲	〔亻〕一一丨一
奥	〔大〕丿丨乙丶
骜	〔马〕一一丨一
澳	〔氵〕丿丨乙丶
懊	〔忄〕丿丨乙丶
鏊	〔金〕一一丨一
八	〔八〕丶丶丶丶
巴	〔乙〕乙乙乙乙
叭	〔口〕丿丶丶丶
扒	〔扌〕丿丶丶丶
吧	〔口〕乙丨一乙
岜	〔山〕乙丨一乙
芭	〔艹〕乙丨一乙
疤	〔疒〕乙丨一乙
捌	〔扌〕丨乙一乙
笆	〔〕乙丨一乙
粑	〔米〕乙丨一乙
拔	〔扌〕一丿乙丶
茇	〔艹〕一丿乙丶
菝	〔艹〕一丨一一
跋	〔足〕一丿乙丶
魃	〔鬼〕一丿乙丶
把	〔扌〕乙丨一乙
钯	〔钅〕乙丨一乙
靶	〔革〕乙丨一乙
坝	〔土〕丨乙丿丶
爸	〔父〕乙丨一乙
罢	〔罒〕一丨一乙
鲅	〔鱼〕一丿乙丶
霸	〔雨〕一丨丨一
灞	〔氵〕丶丶丶丶
掰	〔手〕丿丶乙丿
白	〔白〕一一一一
百	〔一〕丿丨乙一
佰	〔亻〕一丿丨乙
柏	〔木〕丿丨乙一
捭	〔扌〕丿丨乙一
摆	〔扌〕丨乙丨丨
呗	〔口〕丨乙丿丶
败	〔贝〕丿一丿丶
拜	〔手〕一一一一
稗	〔禾〕丿丨乙一
扳	〔扌〕丿丿乙丶
班	〔王〕丶丿一一
般	〔舟〕丿乙乙丶
颁	〔页〕丿丶乙丿
斑	〔王〕丶一丿丶
搬	〔扌〕丿丿乙丶
瘢	〔疒〕丿丿乙丶
癍	〔疒〕一一丨一
阪	〔阝〕丿丿乙丶
坂	〔土〕丿丿乙丶
板	〔木〕丿丿乙丶
版	〔片〕丿丿乙丶
钣	〔钅〕丿丿乙丶
舨	〔舟〕丿丿乙丶
办	〔力〕丶丶丶丶
半	〔丶〕丿一一丨
伴	〔亻〕丶丿一一
扮	〔扌〕丿丶乙丿
拌	〔扌〕丶丿一一
绊	〔纟〕丶丿一一
瓣	〔辛〕丿丿乙丶
邦	〔阝〕一一一丿
帮	〔巾〕一一一丿
梆	〔木〕一一一丿
浜	〔氵〕丿丨一丨
绑	〔纟〕一一一丿
榜	〔木〕丶一丶丿
膀	〔月〕一丶一丶
蚌	〔虫〕一一一丨
傍	〔亻〕丶一丶丿
棒	〔木〕一一一丿
谤	〔讠〕丶一丶丿
蒡	〔艹〕丶一丶丿
磅	〔石〕一丶一丶
镑	〔钅〕丶一丶丿
勹	〔勹〕乙乙乙乙
包	〔勹〕乙一乙乙
孢	〔子〕丿乙乙一
苞	〔艹〕丿乙乙一
胞	〔月〕丿乙乙一
煲	〔火〕丿丨丨乙
龅	〔齿〕丿乙乙一
褒	〔亠〕丿丨丨乙
雹	〔雨〕丿乙乙一
宝	〔宀〕一一丨一
饱	〔饣〕丿乙乙一
保	〔亻〕丨乙一一
鸨	〔鸟〕丿乙一丨
堡	〔土〕丿丨丨乙
葆	〔艹〕丿丨丨乙
褓	〔衤〕丿丨丨乙
报	〔扌〕乙丨乙丶
抱	〔扌〕丿乙乙一
豹	〔豸〕丿乙丶丶
趵	〔足〕丿乙丶丶
鲍	〔鱼〕丿乙乙一
暴	〔日〕一丨丨一
爆	〔火〕丨乙一一
陂	〔阝〕乙丿丨乙
卑	〔十〕丿丨乙一
杯	〔木〕一丿丨丶
悲	〔心〕丨一一一
