锁	ba
锶	bai
铯	bau
锼	baui
思	bb
饲	bba
瘙	bbao
馓	bbe
馊	bbu
素	bc
缫	bca
厮	bce
纟	bcee
缌	bci
缩	bco
绥	bcu
松	bd
桑	bda
梭	bdao
森	bde
桫	bdo
叟	bdu
榫	bdui
丝	be
隼	bee
蛳	bei
卅	beu
螋	beui
诉	bf
诵	bfa
谡	bfi
兕	bfia
赛	bfo
谇	bfoe
讼	bfu
损	bg
扫	bga
搔	bgao
搡	bgaoa
撒	bge
撕	bgei
擞	bgo
挲	bgoo
搜	bgu
四	bh
私	bha
祀	bhae
祟	bhai
穗	bhe
穑	bhei
夙	bheu
孙	bhi
飧	bhu
司	bi
嗓	bia
咝	biaa
唆	biao
嘶	bie
嗉	biee
嗽	biei
嗦	bieio
虽	bii
嗣	biia
唢	biio
嗍	bio
嗾	bioe
噻	bioo
嗖	biu
俗	bj
仨	bje
僳	bjei
僧	bjo
伞	bjou
斯	bk
狻	bka
狲	bkai
所	bl
埽	bla
寺	ble
叁	bleu
索	blo
塞	bloo
厶	blooo
丧	blou
塑	bloue
啬	blouei
色	bm
姒	bma
糁	bmao
娑	bmo
嫂	bmu
速	bn
鸶	bna
竦	bne
送	bno
邃	bnoo
遂	bnou
飒	bnu
洒	bo
涩	boa
汜	boae
淞	boe
涑	boei
澌	boeii
泗	boi
濉	boia
溯	boo
溲	bou
死	bp
骚	bpa
宋	bpe
驷	bpi
宿	bpu
岁	bq
霰	bqe
崧	bqei
嵩	bqo
艘	br
巳	bra
瑟	bre
肃	bri
琐	brio
肆	bs
羧	bsa
腮	bsi
臊	bsia
脎	bsu
碎	bt
磉	bta
算	bu
笋	bua
笥	buae
毵	buao
簌	bue
三	bv
苏	bva
萨	bvai
荪	bvaie
蒜	bve
菘	bvei
蔌	bveia
觫	bveiae
蓑	bvo
薮	bvou
荽	bvu
酸	bw
髓	bwe
愫	bwee
悚	bwei
粟	bwo
酥	bwu
怂	bwuo
忪	bwuoa
随	bx
隋	bxe
耜	bxi
隧	bxo
耸	bxu
飕	bxui
散	by
睃	bya
眭	bye
燧	byo
睢	byu
瞍	byui
稣	bz
颡	bza
鳋	bzao
凇	bze
鳃	bzi
颂	bzu
钻	ca
